1, 10, 288
1, 20, 569
1, 30, 876
1, 40, 1138
1, 50, 1426
1, 60, 1739
1, 70, 2030
1, 80, 2292
1, 90, 2584
1, 100, 2869
2, 10, 161
2, 20, 330
2, 30, 498
2, 40, 664
2, 50, 838
2, 60, 1007
2, 70, 1177
2, 80, 1351
2, 90, 1505
2, 100, 1694
3, 10, 140
3, 20, 253
3, 30, 382
3, 40, 513
3, 50, 638
3, 60, 774
3, 70, 919
3, 80, 1041
3, 90, 1183
3, 100, 1301
4, 10, 116
4, 20, 209
4, 30, 333
4, 40, 438
4, 50, 563
4, 60, 692
4, 70, 841
4, 80, 995
4, 90, 1050
4, 100, 1185
5, 10, 94
5, 20, 213
5, 30, 319
5, 40, 435
5, 50, 553
5, 60, 648
5, 70, 835
5, 80, 968
5, 90, 1045
5, 100, 1116
6, 10, 97
6, 20, 207
6, 30, 299
6, 40, 411
6, 50, 534
6, 60, 657
6, 70, 775
6, 80, 894
6, 90, 1004
6, 100, 1183
7, 10, 98
7, 20, 192
7, 30, 308
7, 40, 406
7, 50, 546
7, 60, 644
7, 70, 790
7, 80, 940
7, 90, 1057
7, 100, 1222
8, 10, 110
8, 20, 210
8, 30, 329
8, 40, 446
8, 50, 637
8, 60, 778
8, 70, 923
8, 80, 1057
8, 90, 1244
8, 100, 1420
9, 10, 106
9, 20, 237
9, 30, 346
9, 40, 527
9, 50, 668
9, 60, 726
9, 70, 895
9, 80, 1113
9, 80, 1239
9, 90, 1252
9, 100, 1501
10, 10, 81
10, 20, 213
10, 30, 355
10, 40, 496
10, 50, 699
10, 60, 851
10, 60, 936
10, 70, 1041
10, 80, 1153
10, 90, 1308
10, 100, 1332
11, 60, 795
11, 70, 930
11, 80, 1078
11, 90, 1214
11, 100, 1342
12, 60, 842
12, 70, 990
12, 80, 1134
12, 90, 1271
12, 100, 1437
13, 60, 880
13, 70, 1035
13, 80, 1226
13, 90, 1383
13, 100, 1540
14, 60, 927
14, 70, 1142
14, 80, 1284
14, 90, 1416
14, 100, 1664
15, 60, 1005
15, 70, 1149
15, 80, 1327
15, 90, 1472
15, 100, 1730
16, 60, 1023
16, 70, 1186
16, 80, 1382
16, 90, 1557
16, 100, 1744
17, 60, 1091
17, 70, 1287
17, 80, 1474
17, 90, 1673
17, 100, 1855
18, 60, 1125
18, 70, 1333
18, 80, 1506
18, 90, 1709
18, 100, 1848
19, 60, 1172
19, 70, 1408
1, 10, 28
2, 10, 14
2, 10, 15
2, 10, 15
